datetime,soft_counts,hard_counts,soft_ma5,soft_ma30,hard_ma5,hard_ma30,soft_diff,hard_diff,soft_std5,hard_std5,ratio,flare,target
2024-07-10 19:22:00+00:00,74.93333333333334,0.08333333333333333,74.20333333333333,79.99055555555556,0.053333333333334045,0.11388888888888865,0.1666666666666714,0.049999999999999996,0.7702272387272419,0.029814239830817074,69.16923076923078,0,0
2024-07-10 19:23:00+00:00,79.81666666666666,0.2,75.56333333333335,79.56277777777778,0.07666666666666737,0.11555555555555533,4.883333333333326,0.11666666666666668,2.409685318172015,0.07321960884154811,66.51388888888889,0,0
2024-07-10 19:24:00+00:00,85.53333333333333,0.06666666666666667,77.79333333333334,79.42833333333334,0.08666666666666738,0.11222222222222197,5.716666666666669,-0.13333333333333336,4.908419636972653,0.06603870924623138,80.1875,0,0
2024-07-10 19:25:00+00:00,85.18333333333334,0.2,80.04666666666667,79.22166666666665,0.11666666666666739,0.11499999999999977,-0.3499999999999943,0.13333333333333336,5.25752635111074,0.07817359604690839,70.98611111111111,0,0
2024-07-10 19:26:00+00:00,86.43333333333334,0.6333333333333333,82.38000000000001,79.22777777777777,0.23666666666666739,0.13277777777777755,1.25,0.4333333333333333,4.905487290254786,0.2304584802494647,52.91836734693878,0,0
2024-07-10 19:27:00+00:00,92.4,0.4666666666666667,85.87333333333333,79.44055555555556,0.3133333333333341,0.14722222222222198,5.966666666666669,-0.16666666666666663,4.477328692594017,0.23045848024944762,63.0,0,0
2024-07-10 19:28:00+00:00,92.01666666666667,0.23333333333333334,88.31333333333333,79.76666666666667,0.3200000000000007,0.1505555555555553,-0.38333333333333997,-0.23333333333333334,3.587311744867499,0.2268136778331891,74.6081081081081,0,0
2024-07-10 19:29:00+00:00,91.98333333333333,0.4,89.60333333333332,80.02888888888889,0.3866666666666674,0.1583333333333331,-0.03333333333333144,0.16666666666666669,3.496255933833664,0.1773258143988372,65.70238095238096,0,0
2024-07-10 19:30:00+00:00,100.31666666666666,0.36666666666666664,92.63,80.58111111111111,0.4200000000000007,0.16166666666666643,8.333333333333329,-0.03333333333333338,4.958093831681955,0.14643921760309786,73.40243902439023,0,0
2024-07-10 19:31:00+00:00,110.91666666666667,1.4166666666666667,97.52666666666667,81.44277777777778,0.5766666666666673,0.19777777777777755,10.600000000000009,1.05,8.283229375564696,0.4772024960433141,45.89655172413793,0,0
2024-07-10 19:32:00+00:00,117.81666666666666,0.75,102.61000000000001,82.63611111111112,0.633333333333334,0.21499999999999977,6.8999999999999915,-0.6666666666666667,11.517894290547604,0.4776970216069864,67.32380952380952,0,0
2024-07-10 19:33:00+00:00,114.11666666666666,0.4166666666666667,107.03,83.69,0.6700000000000006,0.21777777777777754,-3.700000000000003,-0.3333333333333333,10.643662694528865,0.4452527372265525,80.55294117647058,0,0
2024-07-10 19:34:00+00:00,105.6,0.26666666666666666,109.75333333333333,84.49111111111112,0.6433333333333341,0.21999999999999978,-8.516666666666666,-0.15000000000000002,6.922973028613609,0.46883425169594395,83.36842105263158,0,0
2024-07-10 19:35:00+00:00,98.46666666666667,0.38333333333333336,109.38333333333335,85.02333333333334,0.6466666666666674,0.2305555555555553,-7.133333333333326,0.1166666666666667,7.572382202555372,0.4664285106672783,71.18072289156626,0,0
2024-07-10 19:36:00+00:00,100.93333333333334,1.4833333333333334,107.38666666666668,85.64833333333333,0.6600000000000007,0.27666666666666645,2.4666666666666686,1.1,8.343888315502129,0.494076017550791,40.644295302013425,0,0
2024-07-10 19:37:00+00:00,114.1,2.8,106.64333333333335,86.77666666666667,1.0700000000000007,0.36722222222222195,13.166666666666657,1.3166666666666664,7.280163307036927,1.0848322963107282,30.026315789473685,0,0
2024-07-10 19:38:00+00:00,132.21666666666667,3.8833333333333333,110.26333333333332,88.52388888888889,1.763333333333334,0.49333333333333307,18.116666666666674,1.0833333333333335,13.643916023041237,1.5645997003162975,27.075085324232084,0,0
2024-07-10 19:39:00+00:00,144.68333333333334,3.35,118.08,90.70055555555555,2.380000000000001,0.6033333333333332,12.466666666666669,-0.5333333333333332,20.013208832597325,1.4289856542343462,33.26053639846744,0,0
2024-07-10 19:40:00+00:00,154.3,4.45,129.24666666666667,93.33722222222222,3.193333333333334,0.7488888888888886,9.616666666666674,1.1,21.82800634759182,1.1356349178649563,28.31192660550459,0,0
2024-07-10 19:41:00+00:00,168.95,5.35,142.85,96.40222222222222,3.9666666666666672,0.9238888888888888,14.649999999999977,0.8999999999999995,20.9481734817537,0.9868580895429137,26.606299212598426,0,0
2024-07-10 19:42:00+00:00,185.85,5.033333333333333,157.2,100.08500000000001,4.413333333333334,1.089444444444444,16.900000000000006,-0.31666666666666643,20.905315645109955,0.8177204086202212,30.803867403314918,0,0
2024-07-10 19:43:00+00:00,210.55,7.633333333333334,172.86666666666667,104.6372222222222,5.163333333333334,1.3433333333333333,24.700000000000017,2.6000000000000005,26.18664842157249,1.5771546108970882,24.38803088803089,0,0
2024-07-10 19:44:00+00:00,233.91666666666666,7.283333333333333,190.71333333333334,109.98444444444445,5.95,1.583333333333333,23.366666666666646,-0.35000000000000053,31.9501443223931,1.4196537136477563,28.239436619718308,0,0
